"id_zone";"INSEE_C";"LIBGEO";"EPCI";"DEP";"REG";"loypredm2";"lwr.IPm2";"upr.IPm2";"TYPPRED";"nbobs_com";"nbobs_mail";"R2_adj"
"866";"75113";"Paris 13e Arrondissement";"200054781";"75";"11";22,5646356776788;13,2870223610944;38,3203075474041;"maille";54;557;0,777182850219172
"556";"05066";"La Haute-Beaume";"200067445";"05";"93";7,72788044605475;5,84314665908147;10,220543770829;"maille";0;486;0,781690333734786
"556";"26030";"La Bâtie-des-Fonds";"242600534";"26";"84";7,72788044605475;5,84314665908147;10,220543770829;"maille";0;486;0,781690333734786
"DOM_4";"97101";"Les Abymes";"200018653";"971";"01";13,1394807825406;9,20553606917722;18,7545791942331;"commune";1112;1162;0,674208056189681
"811";"29232";"Quimper";"200068120";"29";"53";11,1233798219848;8,66576268185266;14,277979123897;"commune";1572;2074;0,7760479651765
"1049";"55106";"Chattancourt";"200049187";"55";"44";7,22843048521407;5,56310470224192;9,39227465169141;"maille";10;732;0,620681229394302
