"id_zone";"INSEE_C";"LIBGEO";"EPCI";"DEP";"REG";"loypredm2";"lwr.IPm2";"upr.IPm2";"TYPPRED";"nbobs_com";"nbobs_mail";"R2_adj"
"2075";"75113";"Paris 13e Arrondissement";"200054781";"75";"11";28,0319647821222;22,4868600002295;34,9444542073957;"commune";3600;3600;0,786455668463448
"109";"05066";"La Haute-Beaume";"200067445";"05";"93";8,58539495461353;6,19049582818846;11,9068017445499;"maille";0;478;0,739542138215059
"1073";"26030";"La Bâtie-des-Fonds";"242600534";"26";"84";8,37558060953688;6,6047246984604;10,6212376366274;"maille";0;664;0,572177350744746
"DOM_2";"97101";"Les Abymes";"200018653";"971";"01";12,1391442936555;8,84323475862909;16,6634527075513;"commune";1103;1554;0,320523578774838
"357";"29232";"Quimper";"200068120";"29";"53";10,6904529464954;8,62573234693732;13,2494007006618;"commune";3921;4140;0,669481184083034
"250";"55106";"Chattancourt";"200049187";"55";"44";9,79085183840045;7,26535901489287;13,194224748565;"EPCI";5;478;0,652916396373891
