"id_zone";"INSEE_C";"LIBGEO";"EPCI";"DEP";"REG";"loypredm2";"lwr.IPm2";"upr.IPm2";"TYPPRED";"nbobs_com";"nbobs_mail";"R2_adj"
"2870";"75113";"Paris 13e Arrondissement";"200054781";"75";"11";30,3587318706011;24,3972987737681;37,7768296948517;"commune";14211;14211;0,910595398107281
"1";"05066";"La Haute-Beaume";"200067445";"05";"93";9,75769624568385;7,57917786912916;12,5623963003751;"maille";0;484;0,77697857231704
"1";"26030";"La Bâtie-des-Fonds";"242600534";"26";"84";9,75769624568385;7,57917786912916;12,5623963003751;"maille";0;484;0,77697857231704
"DOM_16";"97101";"Les Abymes";"200018653";"971";"01";15,0373500652962;11,4745231041493;19,706430928227;"commune";1910;2193;0,575978982650624
"965";"29232";"Quimper";"200068120";"29";"53";11,9881732152255;9,73525675675426;14,7624557450465;"commune";10629;10908;0,830018294033059
"602";"55106";"Chattancourt";"200049187";"55";"44";9,60275185096786;7,89013502630023;11,6871058358182;"maille";9;481;0,802650382659503
