id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1300141,2025-05-05,000001,Vente,295000,10,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0036,,,492,40.25,653,,,,,,,,2,2,Appartement,118,5,,,,,,2.37108,48.828875
2025-1300206,2025-04-30,000001,Vente,535000,28,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0027,,,19,64.22,,,,,,,,,1,2,Appartement,63,3,,,,,,2.373282,48.828961
2025-1300206,2025-04-30,000001,Vente,535000,28,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0027,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373282,48.828961
2025-1300449,2025-05-26,000001,Vente,187800,31,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0029,,,4,24.21,7,,,,,,,,2,3,Dépendance,,0,,,,,,2.371439,48.829409
2025-1300449,2025-05-26,000001,Vente,187800,31,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0029,,,4,24.21,7,,,,,,,,2,2,Appartement,24,2,,,,,,2.371439,48.829409
2025-1301257,2025-05-22,000001,Vente,268000,3,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0014,,,113,29.99,114,,,,,,,,2,3,Dépendance,,0,,,,,,2.370599,48.829352
2025-1301257,2025-05-22,000001,Vente,268000,3,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0014,,,113,29.99,114,,,,,,,,2,2,Appartement,30,1,,,,,,2.370599,48.829352
2025-1301257,2025-05-22,000001,Vente,268000,3,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0014,,,113,29.99,114,,,,,,,,2,3,Dépendance,,0,,,,,,2.370599,48.829352
2025-1301551,2025-05-28,000001,Vente,569400,10,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0036,,,490,,651,,,,,,,,2,2,Appartement,65,3,,,,,,2.37108,48.828875
2025-1301570,2025-06-04,000001,Vente,152000,89,,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0020,,,16,,,,,,,,,,1,2,Appartement,20,1,,,,,,2.373001,48.827812
2025-1301617,2025-06-10,000001,Vente,366300,2,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0043,,,42,52.72,,,,,,,,,1,2,Appartement,52,2,,,,,,2.372051,48.828927
2025-1301690,2025-05-21,000001,Vente,350000,41,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0004,,,30,37.59,47,,,,,,,,2,3,Dépendance,,0,,,,,,2.372328,48.827895
2025-1301690,2025-05-21,000001,Vente,350000,41,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0004,,,30,37.59,47,,,,,,,,2,2,Appartement,40,3,,,,,,2.372328,48.827895
2025-1302270,2025-06-20,000001,Vente,260000,80,,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0028,,,179,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.372988,48.829025
